City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,klyuchi,52.2667,79.1667,20.58,34,4,6.2,RU,1684813001
83,hamilton,39.1834,-84.5333,19.47,68,0,3.09,US,1684812863
84,gadzhiyevo,69.2551,33.3362,14.45,61,51,4.61,RU,1684813002
85,sechura,-5.5569,-80.8222,23.24,82,75,4.92,PE,1684813002
86,eenhana,-17.4667,16.3333,15.32,35,5,1.6,NA,1684813002
87,meadow lake,34.8014,-106.5436,20.08,55,35,2.21,US,1684813002
88,mandalgovi,45.7625,106.2708,20.94,9,98,6.03,MN,1684813002
89,san patricio,28.017,-97.5169,26.92,83,0,3.24,US,1684813003
90,enewetak,11.3474,162.3373,28.21,79,100,6.6,MH,1684813003
91,arraial do cabo,-22.9661,-42.0278,21.63,87,100,5.85,BR,1684812734
92,woolgoolga,-30.1106,153.2007,21.13,35,0,1.69,AU,1684813003
93,kuta,-8.7233,115.1723,27.97,74,20,5.81,ID,1684813003
94,kapa'a,22.0752,-159.319,27.99,76,40,7.72,US,1684813004
95,gargalianoi,37.0667,21.6333,14.09,76,11,2.57,GR,1684813004
96,uturoa,-16.7333,-151.4333,27.65,74,18,6.22,PF,1684813004
97,jincheng,35.5022,112.8328,21.96,30,100,3.35,CN,1684813004
98,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,93,100,1.0,RU,1684813005
99,nova sintra,14.8667,-24.7167,20.09,79,100,6.85,CV,1684813005
100,katsuura,35.1333,140.3,15.76,94,100,9.02,JP,1684813005
101,lompoc,34.6391,-120.4579,14.32,91,100,3.09,US,1684813005
102,iskateley,67.6803,53.1512,14.04,60,71,4.42,RU,1684813005
103,timaru,-44.4,171.25,12.26,80,4,1.94,NZ,1684813006
104,vorgashor,67.5833,63.95,6.74,81,89,2.62,RU,1684813006
105,gereida,11.2811,25.1414,27.83,14,0,3.43,SD,1684813006
106,tadine,-21.55,167.8833,23.19,57,92,7.66,NC,1684813006
107,atafu village,-8.5421,-172.5159,28.61,76,97,4.48,TK,1684813006
108,gebeit,21.0667,36.3167,26.71,14,1,1.47,SD,1684813007
109,mount gambier,-37.8333,140.7667,15.34,59,100,4.02,AU,1684813007
110,lihue,21.9789,-159.3672,27.58,76,40,7.72,US,1684813007
111,sao joao da barra,-21.6403,-41.0511,18.22,95,95,1.35,BR,1684813007
112,grand falls-windsor,48.9332,-55.6649,4.72,70,100,0.45,CA,1684813008
113,strezhevoy,60.7333,77.5889,16.18,33,52,4.65,RU,1684812810
114,summerlin south,36.1027,-115.3811,30.68,21,70,1.85,US,1684813008
115,amos,48.5669,-78.1162,7.85,62,94,3.96,CA,1684813008
116,nova vicosa,-17.8919,-39.3719,22.55,87,55,2.67,BR,1684813008
117,kapuskasing,49.4169,-82.4331,15.0,47,75,4.12,CA,1684812913
118,polyarnyy,69.1989,33.4478,15.51,59,31,4.88,RU,1684813009
119,kodiak,57.79,-152.4072,6.73,93,100,8.75,US,1684812986
120,kiffa,16.6166,-11.4045,31.9,18,10,2.73,MR,1684813009
121,apolinario saravia,-24.4328,-63.9954,20.34,90,88,1.79,AR,1684813009
122,vicuna,-30.0319,-70.7081,10.85,57,100,0.61,CL,1684812942
123,ilulissat,69.2167,-51.1,-3.99,86,20,3.09,GL,1684813010
124,'alaqahdari dishu,30.4374,63.313,32.64,21,78,3.24,AF,1684813010
125,colac,-38.3333,143.5833,11.57,60,99,3.94,AU,1684813010
126,bilibino,68.0546,166.4372,8.14,57,67,1.29,RU,1684813010
127,zhangye,38.9342,100.4517,24.82,17,3,1.8,CN,1684813011
128,tobol,52.6844,62.5794,21.8,36,6,4.17,KZ,1684813011
129,lincoln,40.8,-96.667,20.19,66,0,1.34,US,1684812672
130,nemuro,43.3236,145.575,6.06,77,100,2.84,JP,1684813011
131,hithadhoo,-0.6,73.0833,28.28,73,5,1.25,MV,1684813011
132,itaueira,-7.6033,-43.0256,24.54,62,74,3.85,BR,1684813012
133,college,64.8569,-147.8028,17.18,48,40,2.57,US,1684813012
134,south molton,51.0167,-3.8333,9.62,90,30,2.4,GB,1684813012
135,constantia,44.1833,28.65,15.39,78,100,3.44,RO,1684813012
136,jyvaskyla,62.2415,25.7209,12.29,95,78,1.03,FI,1684812994
137,road town,18.4167,-64.6167,28.02,78,40,3.09,VG,1684812878
138,okhotsk,59.3833,143.3,3.64,81,99,2.29,RU,1684813013
139,lebu,-37.6167,-73.65,13.16,90,100,12.65,CL,1684813013
140,arno,60.1167,18.6333,10.44,62,100,2.0,SE,1684813013
141,erenhot,43.6475,111.9767,22.84,14,77,6.97,CN,1684813013
142,jamestown,42.097,-79.2353,14.8,81,0,2.57,US,1684812761
143,daru,-9.0763,143.2092,27.41,73,100,5.75,PG,1684813014
144,labrador city,52.9463,-66.9114,-2.05,74,0,2.57,CA,1684813014
145,bahia de kino,28.8333,-111.9333,26.62,49,0,3.45,MX,1684813014
146,selibaby,15.159,-12.1829,31.37,20,43,4.56,MR,1684813014
